,Icon,Company,Ratings,Reviews,Salaries,Jobs,Location,Company Size,Industry,Description
10,https://media.glassdoor.com/sql/8450/pwc-squareLogo-1688999699825.png,PwC,3.9,79T,12.8T,22.4T,75 office locations,1001 to 5000 Employees,Accounting & Tax,"Our people are powered by technology to turn today’s ideas into tomorrow’s solutions.  Learn more about how you can help organizations meet the challenges and opportunities of the US marketplace in the areas of audit, tax, consulting and products and technology.

We connect people with diverse backgrounds and skillsets to solve important problems together—for our clients, our communities and for the world at large."
11,https://media.glassdoor.com/sql/9779/teleperformance-squareLogo-1697744314989.png,Teleperformance,4.7,57.5T,9.2T,2.1T,39 office locations,10000+ Employees,Telecommunications Services,"Passion. Integrity. Excellence. We are Teleperformance, the worldwide leader in outsourced omnichannel customer experience management.
 
For almost four decades, we have been helping our clients across 80 countries serving  175 markets strengthen their relationships with their customers by providing customer care, technical support, customer acquisition, digital solutions, analytics, and other specialized services. Aon, Great Place to Work, the Everest Group and many others have recognized our expertise in different fields.
 
As a people company, we want to be the bridge that connects you to great opportunities. Allow us to take your career to new places. With your passion and our mission, we can do great things together. 
 
Ready to take that first step? We want to hear from you."
12,https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png,Microsoft,4.3,52.6T,10.9T,3.1T,60 office locations,10000+ Employees,Computer Hardware Development,"At Microsoft, our mission is to empower every person and every organization on the planet to achieve more. When you join Microsoft, you're not just taking on a job, you're embracing a calling. A calling where your individual contributions amplify into a collective force championing global progress and innovation.  
Rooted in a growth mindset, Microsoft believes in nurturing potential, embracing change, and lifelong learning. As part of Team Microsoft, you'll collaborate across boundaries, building upon the ideas of others, unified by our shared mission.  
Together, our aspirations become tangible. Consider Microsoft to make world-changing impact. 
Because impact matters. 
Join us at careers.microsoft.com"
13,https://media.glassdoor.com/sql/135932/tech-mahindra-squareLogo-1682427461111.png,Tech Mahindra,3.6,33.9T,27.3T,938,30 office locations,10000+ Employees,Information Technology Support Services,"Tech Mahindra represents the connected world, offering innovative and customer-centric information technology experiences, enabling Enterprises, Associates and the Society to Rise™. We are a USD 4.9 billion company with 118,390+ professionals across 90 countries, helping over 930 global customers including Fortune 500 companies. Our convergent, digital, design experiences, innovation platforms and reusable assets connect across a number of technologies to deliver tangible business value and experiences to our stakeholders. Tech Mahindra is the highest ranked Non-U.S. company in the Forbes Global Digital 100 list (2018) and in the Forbes Fab 50 companies in Asia (2018).
We are part of the USD 21 billion Mahindra Group that employs more than 200,000 people in over 100 countries. The Group operates in the key industries that drive economic growth, enjoying a leadership position in tractors, utility vehicles, after-market, information technology and vacation ownership."
14,https://media.glassdoor.com/sql/2867/kpmg-squareLogo-1675929586261.png,KPMG,3.8,60.1T,11.7T,9T,27 office locations,10000+ Employees,Business Consulting,"KPMG LLP, the U.S. audit, tax and advisory services firm, operates from more than 100 offices with more than 32,000 employees and partners throughout the U.S. Our purpose is to turn knowledge into value for the benefit of our clients, our people, and the capital markets.

KPMG delivers a globally consistent set of multidisciplinary services based on deep industry knowledge. Our industry focus helps KPMG professionals develop a rich understanding of clients' businesses and the insight, skills, and resources required to address industry-specific issues and opportunities."
15,https://media.glassdoor.com/sql/9079/google-squarelogo-1441130773284.png,Google,4.4,48.9T,9.6T,1.3T,"Headquarters in Mountain View, United States",10000+ Employees,Internet & Web Services,"Since our founding in 1998, Google has grown by leaps and bounds. Starting from two computer science students in a university dorm room, we now have over a hundred thousand employees and over one hundred offices around the world. These Googlers build products that help create opportunities for everyone, whether down the street or across the globe. So whether you want to be a part of developing innovative technology, campaigns, products or partnerships, your work here is a chance to accomplish things that matter. To learn more about our job opportunities, teams, offices, benefits and workplace culture, visit careers.google.com."
16,https://media.glassdoor.com/sql/1327/dell-technologies-squarelogo-1702514279238.png,Dell Technologies,4.3,35T,10.6T,297,25 office locations,10000+ Employees,Information Technology Support Services,"We believe that each of us has the power to make an impact. That’s why we put our team members at the center of everything we do. If you’re looking for an opportunity to grow your career with some of the best minds and most advanced tech in the industry, we’re looking for you. Dell Technologies is a unique family of businesses that helps individuals and organizations transform how they work, live and play. Join us to build a future that works for everyone because Progress Takes All of Us.


Dell is a collective of customer-obsessed, industry-leading visionaries. At our core is a commitment to diversity, sustainability and our communities. We offer unparalleled growth and development opportunities for our team members. We believe that technology is essential for driving human progress, and we’re committed to providing that technology to people and organizations everywhere, so they can transform the way they work and live."
17,https://media.glassdoor.com/sql/1425/cisco-systems-squareLogo-1702924319691.png,Cisco Systems,4.4,32.9T,8.6T,354,25 office locations,10000+ Employees,Enterprise Software & Network Solutions,"#WeAreCisco, where each person is unique. We bring our talents to work as a team each day, helping power an inclusive future for all. Here's how we do it. 

At Cisco, we embody transformation and help our customers excel in their digital worlds. Some may think we're ""old"" (36+ years strong!) and only about hardware, but we're also a software company, a security company, a blockchain company, and an AI/Machine Learning company. We even invented an intuitive network that adapts, predicts, learns, and protects. Our innovation never stops! 

Cisco values the perspectives and skillsets that arise from employees with diverse backgrounds. That's why Cisco is expanding the boundaries of discovering top talent by not only focusing on candidates with college degrees and experience but instead placing more emphasis on unlocking potential. 

As one of the leading forces in connecting the world, we understand our unique opportunity to bring communities together and create meaningful change for everyone, everywhere. That's why connecting starts within Cisco. Over 30,000 Cisconians participate in our Employee Resource Groups, called Inclusive Communities, where we network, learn to be informed allies, and help make a difference. 

Cisco didn't just build the Internet. We keep building it. And while our technology helps connect the unconnected, that's not where our edge comes from. It comes from our people—unique, innovative, and diverse. Be you, with us!"
18,https://media.glassdoor.com/sql/8876/wells-fargo-squarelogo-1569533783558.png,Wells Fargo,3.6,48.7T,5.7T,3.1T,26 office locations,10000+ Employees,Banking & Lending,"Wells Fargo &amp; Company (NYSE: WFC) is a diversified, community-based financial services company with $1.98 trillion in assets. Wells Fargo’s vision is to satisfy our customers’ financial needs and help them succeed financially. Founded in 1852 and headquartered in San Francisco, Wells Fargo provides banking, investment and mortgage products and services, as well as consumer and commercial finance, through 7,400 locations, more than 13,000 ATMs, the internet (wellsfargo.com) and mobile banking, and has offices in 31 countries and territories to support customers who conduct business in the global economy. With approximately 263,000 team members, Wells Fargo serves one in three households in the United States. Wells Fargo &amp; Company was ranked No. 30 on Fortune’s 2020 rankings of America’s largest corporations. News, insights and perspectives from Wells Fargo are also available at Wells Fargo Stories. 
Additional information may be found at www.wellsfargo.com | Twitter: @WellsFargo."
19,https://media.glassdoor.com/sql/42613/genpact-squarelogo-1505910332584.png,Genpact,4.0,22.1T,17T,3T,64 office locations,10000+ Employees,Information Technology Support Services,"Genpact (NYSE: G) is a global professional services firm that makes business transformation real. We drive digital-led innovation and digitally-enabled intelligent operations for our clients, guided by our experience running thousands of processes primarily for Global Fortune 500 companies. We think with design, dream in digital, and solve problems with data and analytics.  Combining our expertise in end-to-end operations and our AI-based platform, Genpact Cora, we focus on the details – all 87,000+ of us. From New York to New Delhi and more than 25 countries in between, we connect every dot, reimagine every process, and reinvent companies’ ways of working. We know that reimagining each step from start to finish creates better business outcomes. Whatever it is, we’ll be there with you – accelerating digital transformation to create bold, lasting results – because transformation happens here. Get to know us at Genpact.com and on LinkedIn, Twitter, YouTube, and Facebook."
